,carat,cut,color,clarity,depth,table,volume
4247,1.11,Premium,I,SI2,61.3,59.0,0.3162393162393163
4248,1.01,Very Good,J,VS1,59.5,59.0,0.28774928774928776
4249,1.07,Very Good,G,VVS2,59.4,57.0,0.30484330484330485
4250,1.0,Good,E,SI1,63.5,62.0,0.2849002849002849
4251,1.01,Premium,F,VS2,61.4,57.0,0.28774928774928776
4252,1.53,Ideal,I,SI2,61.9,58.0,0.43589743589743596
4253,0.34,Premium,E,VS2,61.1,60.0,0.09686609686609687
4254,1.01,Very Good,G,VS2,60.2,58.0,0.28774928774928776
4255,0.34,Premium,F,SI1,59.8,58.0,0.09686609686609687
4256,0.91,Very Good,F,SI1,61.4,58.0,0.2592592592592593
4257,0.55,Ideal,D,VS1,61.7,55.0,0.1566951566951567
4258,0.9,Premium,G,SI2,62.1,58.0,0.25641025641025644
4259,0.73,Very Good,D,SI1,63.9,57.0,0.20797720797720798
4260,0.44,Premium,J,VS1,61.9,57.0,0.12535612535612536
4261,1.01,Ideal,F,SI1,62.5,56.0,0.28774928774928776
4262,0.6,Ideal,E,VS2,62.0,56.0,0.17094017094017094
4263,0.81,Very Good,I,VS2,60.4,63.0,0.2307692307692308
4264,1.07,Ideal,H,SI2,59.2,57.0,0.30484330484330485
4265,1.03,Good,D,SI1,57.7,62.0,0.2934472934472935
4266,1.51,Premium,H,IF,60.2,60.0,0.43019943019943024
4267,0.77,Premium,E,SI1,61.7,58.0,0.21937321937321938
4268,0.7,Ideal,G,SI2,61.8,56.0,0.19943019943019943
4269,1.02,Good,E,SI2,64.2,59.0,0.2905982905982906
4270,1.51,Very Good,J,SI1,60.6,57.0,0.43019943019943024
4271,0.9,Premium,H,I1,58.8,62.0,0.25641025641025644
4272,2.52,Premium,F,SI2,60.6,60.0,0.717948717948718
4273,1.01,Very Good,D,VS2,63.1,58.0,0.28774928774928776
4274,1.54,Premium,F,SI1,62.8,58.0,0.43874643874643876
4275,0.72,Premium,E,VS2,61.1,59.0,0.20512820512820512
4276,0.32,Ideal,G,SI1,61.9,55.0,0.09116809116809117
4277,1.0,Fair,I,SI1,56.4,61.0,0.2849002849002849
4278,1.0,Ideal,G,VVS2,61.2,56.0,0.2849002849002849
4279,0.42,Premium,G,VVS1,60.2,59.0,0.11965811965811966
4280,0.3,Premium,E,VVS2,61.4,58.0,0.08547008547008547
4281,0.32,Ideal,D,VS2,62.1,53.0,0.09116809116809117
4282,0.53,Ideal,D,VVS1,62.0,57.0,0.15099715099715103
4283,1.12,Premium,D,SI2,58.2,60.0,0.31908831908831914
4284,1.7,Fair,F,SI2,64.5,57.0,0.48433048433048437
4285,0.37,Very Good,H,VS2,59.5,61.0,0.10541310541310542
4286,0.3,Ideal,G,IF,61.4,57.0,0.08547008547008547
4287,1.0,Ideal,E,SI2,61.8,57.0,0.2849002849002849
4288,0.71,Very Good,G,SI1,62.3,57.0,0.2022792022792023
4289,2.02,Very Good,H,SI2,62.7,59.0,0.5754985754985755
4290,1.54,Premium,I,SI2,61.5,61.0,0.43874643874643876
4291,0.61,Ideal,F,SI2,61.9,57.0,0.1737891737891738
4292,1.17,Ideal,I,SI1,60.0,59.0,0.3333333333333333
4293,1.1,Premium,I,SI2,59.7,62.0,0.3133903133903134
4294,2.23,Premium,J,SI2,61.3,60.0,0.6353276353276354
4295,0.41,Ideal,F,VVS1,62.3,55.0,0.1168091168091168
4296,1.5,Very Good,I,VS2,63.8,59.0,0.4273504273504274
4297,0.35,Premium,E,VVS2,60.2,58.0,0.09971509971509972
4298,0.51,Ideal,G,VVS2,62.1,58.0,0.1452991452991453
4299,0.7,Very Good,E,SI1,63.2,57.0,0.19943019943019943
4300,0.37,Good,F,SI1,63.7,55.0,0.10541310541310542
4301,1.01,Fair,E,SI1,56.8,61.0,0.28774928774928776
4302,1.44,Ideal,G,VS1,62.6,57.0,0.41025641025641024
4303,0.76,Premium,E,SI2,60.8,57.0,0.21652421652421655
4304,1.21,Premium,H,VS2,60.5,60.0,0.34472934472934474
4305,1.18,Good,D,SI2,59.7,61.0,0.33618233618233617
4306,0.36,Ideal,D,SI1,62.7,57.0,0.10256410256410256
4307,1.0,Very Good,F,VS1,62.1,60.0,0.2849002849002849
4308,1.01,Very Good,F,SI1,62.0,56.0,0.28774928774928776
4309,0.54,Ideal,F,SI1,61.3,55.0,0.15384615384615385
4310,1.2,Premium,F,SI2,62.7,60.0,0.3418803418803419
4311,0.59,Very Good,E,VS2,61.7,60.0,0.16809116809116809
4312,1.56,Ideal,H,VS2,62.2,56.0,0.4444444444444445
4313,2.11,Ideal,I,VS1,61.9,57.0,0.6011396011396012
4314,0.4,Ideal,I,VVS2,61.9,56.4,0.11396011396011398
4315,0.31,Premium,G,VS1,59.5,59.0,0.08831908831908833
4316,0.9,Very Good,I,VS2,62.5,57.0,0.25641025641025644
4317,1.26,Ideal,G,VS1,62.2,54.0,0.358974358974359
4318,0.83,Premium,D,SI1,59.7,59.0,0.23646723646723647
4319,1.12,Ideal,F,VVS2,62.2,55.0,0.31908831908831914
4320,0.61,Very Good,E,VS2,60.1,60.0,0.1737891737891738
4321,0.39,Good,G,VS2,63.8,59.0,0.11111111111111112
4322,0.31,Ideal,H,VVS1,62.0,54.2,0.08831908831908833
4323,0.51,Good,G,SI1,63.1,64.0,0.1452991452991453
4324,0.54,Ideal,H,VS1,61.5,56.0,0.15384615384615385
4325,0.71,Premium,H,VS1,62.9,57.0,0.2022792022792023
4326,1.0,Very Good,F,SI1,61.4,62.0,0.2849002849002849
4327,1.79,Ideal,J,SI1,59.8,61.0,0.50997150997151
4328,1.02,Very Good,F,SI1,63.1,55.0,0.2905982905982906
4329,0.73,Very Good,E,SI1,63.2,58.0,0.20797720797720798
4330,0.52,Very Good,F,SI1,60.0,58.0,0.14814814814814817
4331,0.31,Very Good,H,SI1,62.4,57.0,0.08831908831908833
4332,0.31,Very Good,D,VS2,61.8,57.0,0.08831908831908833
4333,1.51,Very Good,F,SI2,62.7,60.0,0.43019943019943024
4334,0.71,Premium,E,VS2,62.2,59.0,0.2022792022792023
4335,0.72,Ideal,D,VS2,62.1,57.0,0.20512820512820512
4336,0.57,Ideal,F,SI1,61.6,57.0,0.1623931623931624
4337,0.32,Ideal,G,VVS2,62.1,55.0,0.09116809116809117
4338,0.35,Premium,H,SI2,62.0,58.0,0.09971509971509972
4339,1.21,Premium,F,SI2,61.8,59.0,0.34472934472934474
4340,1.0,Premium,H,VS2,59.3,61.0,0.2849002849002849
4341,0.31,Ideal,G,VVS1,60.8,56.0,0.08831908831908833
4342,0.78,Very Good,D,SI1,62.5,58.0,0.22222222222222224
4343,0.32,Premium,H,VS2,60.7,61.0,0.09116809116809117
4344,1.07,Premium,F,VS1,62.4,58.0,0.30484330484330485
4345,0.9,Very Good,F,SI1,62.3,55.0,0.25641025641025644
4346,1.75,Good,D,SI1,63.8,57.0,0.4985754985754986
4347,1.0,Good,E,SI2,62.1,61.0,0.2849002849002849
4348,0.71,Premium,F,SI1,62.2,58.0,0.2022792022792023
4349,0.42,Premium,G,VVS1,59.8,58.0,0.11965811965811966
4350,0.34,Premium,E,VS2,61.1,60.0,0.09686609686609687
4351,1.02,Very Good,F,SI2,60.2,61.0,0.2905982905982906
4352,1.51,Very Good,I,VS1,63.1,53.0,0.43019943019943024
4353,0.5,Ideal,F,VS1,62.5,57.0,0.14245014245014245
4354,1.23,Premium,G,SI1,62.5,62.0,0.35042735042735046
4355,1.6,Premium,G,VVS1,61.5,58.0,0.4558404558404559
4356,0.58,Very Good,H,SI1,63.3,56.0,0.16524216524216523
4357,0.41,Ideal,G,VVS2,61.8,56.0,0.1168091168091168
4358,0.6,Good,J,VS1,58.9,60.5,0.17094017094017094
4359,2.28,Good,J,SI2,63.6,57.0,0.6495726495726496
4360,0.32,Ideal,E,VVS1,61.7,56.0,0.09116809116809117
4361,1.5,Premium,J,SI1,62.1,57.0,0.4273504273504274
4362,0.52,Ideal,F,VS1,62.3,55.0,0.14814814814814817
4363,2.26,Premium,H,SI1,60.3,58.0,0.6438746438746439
4364,0.31,Ideal,D,VS2,62.7,55.0,0.08831908831908833
4365,0.32,Ideal,H,VS2,61.5,55.0,0.09116809116809117
4366,0.53,Ideal,F,VS1,62.1,57.0,0.15099715099715103
4367,0.7,Very Good,E,VS1,62.0,59.0,0.19943019943019943
4368,0.9,Very Good,I,SI1,63.5,59.0,0.25641025641025644
4369,0.71,Very Good,I,VVS2,59.5,60.0,0.2022792022792023
4370,0.61,Ideal,F,SI2,61.3,55.0,0.1737891737891738
4371,0.32,Ideal,I,VS2,62.0,53.0,0.09116809116809117
4372,1.86,Ideal,J,VS2,62.6,56.0,0.5299145299145299
4373,1.52,Good,H,SI1,63.6,57.0,0.4330484330484331
4374,0.4,Ideal,G,SI2,60.6,56.0,0.11396011396011398
4375,0.5,Premium,G,VS1,60.7,60.0,0.14245014245014245
4376,0.31,Ideal,D,VS2,61.9,56.0,0.08831908831908833
4377,1.07,Ideal,F,VS2,62.0,57.0,0.30484330484330485
4378,0.3,Premium,F,VS1,61.9,59.0,0.08547008547008547
4379,0.61,Ideal,E,VS2,61.4,56.0,0.1737891737891738
4380,0.25,Very Good,G,VVS1,63.7,54.0,0.07122507122507123
4381,2.02,Very Good,I,VS2,58.8,57.0,0.5754985754985755
4382,0.73,Premium,E,SI2,60.6,59.0,0.20797720797720798
4383,0.38,Ideal,E,SI1,61.1,55.0,0.10826210826210828
4384,0.31,Fair,G,VVS2,65.5,58.0,0.08831908831908833
4385,1.04,Ideal,G,VS1,61.7,57.0,0.29629629629629634
4386,1.52,Ideal,I,VS1,61.8,55.0,0.4330484330484331
4387,1.0,Very Good,H,SI2,62.0,57.0,0.2849002849002849
4388,0.42,Ideal,H,VVS1,62.4,55.0,0.11965811965811966
4389,0.72,Ideal,G,VVS1,61.7,55.0,0.20512820512820512
4390,0.51,Very Good,E,VS2,63.6,59.0,0.1452991452991453
4391,0.4,Ideal,J,VS1,62.2,54.0,0.11396011396011398
4392,0.38,Very Good,G,VS2,62.5,56.0,0.10826210826210828
4393,1.11,Ideal,I,VS1,61.2,57.0,0.3162393162393163
4394,0.7,Ideal,F,SI2,65.0,53.0,0.19943019943019943
4395,1.01,Premium,H,SI1,62.6,61.0,0.28774928774928776
4396,0.33,Ideal,G,VVS1,61.5,56.0,0.09401709401709403
4397,0.41,Very Good,E,SI2,63.5,55.0,0.1168091168091168
4398,0.31,Premium,I,VS2,60.8,58.0,0.08831908831908833
4399,0.91,Ideal,F,SI2,62.4,57.0,0.2592592592592593
4400,0.5,Premium,F,VS2,62.3,58.0,0.14245014245014245
4401,0.33,Premium,G,VS2,59.4,61.0,0.09401709401709403
4402,1.01,Very Good,D,IF,61.6,56.0,0.28774928774928776
4403,0.76,Ideal,I,IF,61.6,55.0,0.21652421652421655
4404,0.72,Ideal,H,SI1,61.1,56.0,0.20512820512820512
4405,0.34,Ideal,G,VVS2,62.6,54.0,0.09686609686609687
4406,0.33,Premium,G,IF,59.4,59.0,0.09401709401709403
4407,1.58,Premium,G,VS1,62.1,59.0,0.4501424501424502
4408,0.3,Premium,G,SI1,62.7,58.0,0.08547008547008547
4409,0.62,Premium,F,SI1,63.0,59.0,0.17663817663817666
4410,0.55,Premium,D,SI1,61.2,58.0,0.1566951566951567
4411,0.3,Very Good,F,SI1,60.3,61.0,0.08547008547008547
4412,1.1,Premium,E,SI1,60.0,58.0,0.3133903133903134
4413,0.41,Ideal,D,SI2,62.7,55.0,0.1168091168091168
4414,0.3,Very Good,D,VS1,61.2,55.0,0.08547008547008547
4415,0.52,Premium,G,SI1,60.7,59.0,0.14814814814814817
4416,0.4,Very Good,G,VS1,61.8,58.0,0.11396011396011398
4417,1.08,Ideal,G,SI1,61.7,56.0,0.3076923076923077
4418,0.31,Premium,H,VVS2,61.4,58.0,0.08831908831908833
4419,0.92,Fair,F,SI1,66.0,57.0,0.26210826210826216
4420,1.04,Ideal,F,VS2,62.1,57.0,0.29629629629629634
4421,0.43,Very Good,H,SI1,61.5,58.0,0.1225071225071225
4422,1.01,Very Good,G,VS2,63.0,57.0,0.28774928774928776
4423,0.28,Very Good,D,VVS2,62.2,59.0,0.07977207977207978
4424,1.03,Ideal,D,SI2,62.8,56.0,0.2934472934472935
4425,0.37,Premium,G,VS2,61.2,60.0,0.10541310541310542
4426,0.44,Ideal,E,VVS1,59.9,57.0,0.12535612535612536
4427,1.03,Ideal,J,SI1,62.3,57.0,0.2934472934472935
4428,0.32,Ideal,G,VVS1,61.9,56.0,0.09116809116809117
4429,1.3,Premium,I,VS2,60.1,58.0,0.3703703703703704
4430,0.36,Ideal,D,VVS2,61.9,53.0,0.10256410256410256
4431,0.36,Ideal,D,SI1,62.1,56.0,0.10256410256410256
4432,0.3,Ideal,F,VS2,61.1,56.0,0.08547008547008547
4433,1.0,Very Good,F,SI1,63.3,61.0,0.2849002849002849
4434,0.4,Premium,E,VS2,62.0,58.0,0.11396011396011398
4435,0.35,Ideal,F,VS1,62.4,55.0,0.09971509971509972
4436,0.31,Good,G,SI1,63.2,57.0,0.08831908831908833
4437,1.01,Very Good,F,VS2,61.6,57.0,0.28774928774928776
4438,1.06,Premium,I,SI1,62.9,60.0,0.30199430199430205
4439,0.27,Ideal,E,VVS2,61.8,57.0,0.07692307692307693
4440,0.3,Very Good,F,VVS1,58.1,61.0,0.08547008547008547
4441,0.32,Ideal,G,VS1,60.7,56.0,0.09116809116809117
4442,1.01,Good,F,VVS2,65.9,54.0,0.28774928774928776
4443,2.06,Ideal,D,SI2,60.3,56.0,0.586894586894587
4444,0.24,Very Good,E,VS2,61.5,58.0,0.06837606837606838
4445,0.5,Very Good,G,VS2,60.9,58.0,0.14245014245014245
4446,1.11,Ideal,I,VS1,61.0,57.0,0.3162393162393163
4447,0.58,Ideal,H,VVS1,61.6,56.0,0.16524216524216523
4448,0.43,Ideal,F,VVS2,61.8,57.0,0.1225071225071225
4449,0.9,Very Good,D,SI1,62.5,63.0,0.25641025641025644
4450,2.01,Premium,D,SI2,61.8,59.0,0.5726495726495726
4451,1.04,Very Good,D,VVS2,60.8,58.0,0.29629629629629634
4452,0.4,Ideal,E,VS1,62.0,54.0,0.11396011396011398
4453,0.41,Good,F,VVS2,63.6,56.0,0.1168091168091168
4454,1.51,Very Good,I,VS1,60.5,60.0,0.43019943019943024
4455,0.52,Good,I,SI1,63.3,55.0,0.14814814814814817
4456,1.01,Very Good,F,VS1,62.6,56.0,0.28774928774928776
4457,1.01,Premium,H,SI2,60.9,59.0,0.28774928774928776
4458,0.91,Very Good,F,SI1,63.3,60.0,0.2592592592592593
4459,1.07,Ideal,E,SI2,61.7,57.0,0.30484330484330485
4460,0.47,Ideal,D,VVS1,62.0,54.0,0.1339031339031339
4461,0.72,Fair,F,VS1,56.9,69.0,0.20512820512820512
4462,0.31,Very Good,H,VVS2,62.4,58.0,0.08831908831908833
4463,0.5,Fair,G,VS1,66.5,58.0,0.14245014245014245
4464,0.9,Very Good,D,VS2,62.3,56.0,0.25641025641025644
4465,0.35,Ideal,D,VS2,62.5,56.0,0.09971509971509972
4466,1.0,Premium,D,VS1,62.7,54.0,0.2849002849002849
4467,0.34,Good,G,VS2,63.1,57.0,0.09686609686609687
4468,1.0,Premium,E,SI2,58.5,61.0,0.2849002849002849
4469,1.5,Fair,F,SI2,64.7,59.0,0.4273504273504274
4470,0.73,Premium,E,SI2,60.1,59.0,0.20797720797720798
4471,0.71,Ideal,E,SI1,61.5,57.0,0.2022792022792023
4472,1.0,Premium,D,VS1,61.9,55.0,0.2849002849002849
4473,0.59,Ideal,D,VS2,61.9,56.0,0.16809116809116809
4474,0.78,Premium,F,SI1,60.8,60.0,0.22222222222222224
4475,0.39,Good,E,VS2,63.1,56.0,0.11111111111111112
4476,1.0,Premium,H,VS1,62.4,58.0,0.2849002849002849
4477,0.71,Very Good,E,VS1,63.4,58.0,0.2022792022792023
4478,1.02,Good,E,SI2,63.4,57.0,0.2905982905982906
4479,0.77,Very Good,F,VS1,62.8,58.0,0.21937321937321938
4480,0.5,Good,E,SI1,63.3,59.0,0.14245014245014245
4481,0.43,Premium,G,IF,61.0,58.0,0.1225071225071225
4482,0.7,Fair,F,VS1,55.9,62.0,0.19943019943019943
4483,0.45,Ideal,I,VS1,62.1,55.0,0.12820512820512822
4484,1.0,Fair,E,SI2,69.0,56.0,0.2849002849002849
4485,1.51,Premium,G,VS2,59.6,57.0,0.43019943019943024
4486,0.51,Ideal,G,IF,61.3,56.0,0.1452991452991453
4487,0.33,Ideal,F,SI1,60.6,56.0,0.09401709401709403
4488,0.55,Ideal,G,VS2,61.8,55.0,0.1566951566951567
4489,0.34,Premium,G,SI2,62.8,59.0,0.09686609686609687
4490,1.5,Good,F,SI2,62.6,64.0,0.4273504273504274
4491,1.0,Ideal,H,I1,61.3,57.0,0.2849002849002849
4492,1.5,Premium,H,VS1,62.1,59.0,0.4273504273504274
4493,0.5,Very Good,G,VS2,62.0,57.0,0.14245014245014245
4494,1.5,Very Good,D,SI1,62.0,63.0,0.4273504273504274
4495,0.75,Premium,I,VS2,60.0,57.0,0.2136752136752137
4496,0.8,Good,F,VS2,63.2,55.0,0.22792022792022795
4497,0.32,Very Good,F,VS2,62.8,53.0,0.09116809116809117
4498,0.3,Premium,G,VS1,62.9,58.0,0.08547008547008547
4499,1.12,Premium,G,SI1,60.1,58.0,0.31908831908831914
4500,1.0,Very Good,G,VS2,60.6,60.0,0.2849002849002849
4501,0.3,Good,D,VS1,64.3,56.0,0.08547008547008547
4502,0.91,Ideal,I,VS1,62.5,55.0,0.2592592592592593
4503,0.71,Very Good,H,VVS2,61.8,56.0,0.2022792022792023
4504,1.5,Premium,G,SI2,60.1,59.0,0.4273504273504274
4505,0.73,Ideal,D,SI1,61.9,56.0,0.20797720797720798
4506,0.5,Very Good,E,SI2,63.2,61.0,0.14245014245014245
4507,0.91,Very Good,F,SI2,62.5,58.0,0.2592592592592593
4508,0.9,Ideal,G,VS1,61.8,56.0,0.25641025641025644
4509,1.05,Ideal,I,SI1,62.1,54.0,0.2991452991452992
4510,1.56,Premium,G,SI1,58.8,57.0,0.4444444444444445
4511,1.24,Premium,E,SI1,59.7,59.0,0.3532763532763533
4512,0.79,Ideal,E,SI1,61.6,55.0,0.2250712250712251
4513,1.72,Premium,H,SI1,62.0,57.0,0.49002849002849
4514,1.59,Ideal,J,VVS2,60.3,57.0,0.45299145299145305
4515,1.21,Very Good,H,VS1,62.4,60.0,0.34472934472934474
4516,0.52,Ideal,G,VVS2,62.1,56.0,0.14814814814814817
4517,1.5,Good,G,VS2,63.6,60.0,0.4273504273504274
4518,0.63,Fair,E,SI1,64.6,57.7,0.1794871794871795
4519,2.0,Ideal,H,SI1,63.9,54.0,0.5698005698005698
4520,0.29,Very Good,H,VVS1,62.0,55.0,0.08262108262108261
4521,1.51,Very Good,J,SI2,62.8,59.0,0.43019943019943024
4522,1.32,Ideal,I,VS2,60.8,57.0,0.3760683760683761
4523,1.21,Premium,F,VS1,62.6,59.0,0.34472934472934474
4524,0.7,Premium,F,I1,63.0,61.0,0.19943019943019943
4525,0.71,Premium,D,VS2,59.2,59.0,0.2022792022792023
4526,0.31,Ideal,G,VVS1,62.5,54.0,0.08831908831908833
4527,0.9,Premium,H,VVS2,62.0,58.0,0.25641025641025644
4528,0.72,Ideal,G,VS1,61.3,56.0,0.20512820512820512
4529,0.7,Premium,G,VVS1,62.0,61.0,0.19943019943019943
4530,1.33,Ideal,D,VS2,62.8,56.0,0.378917378917379
4531,0.91,Ideal,F,SI1,60.2,57.0,0.2592592592592593
4532,0.39,Ideal,F,VVS2,61.9,54.8,0.11111111111111112
4533,0.4,Premium,F,SI1,62.5,59.0,0.11396011396011398
4534,0.52,Very Good,D,VS2,63.4,56.0,0.14814814814814817
4535,0.91,Very Good,H,VS1,62.7,63.0,0.2592592592592593
4536,0.66,Good,H,VS1,59.8,60.9,0.18803418803418806
4537,2.09,Premium,H,SI2,62.1,58.0,0.5954415954415955
4538,0.97,Very Good,G,SI1,61.0,59.0,0.2763532763532764
4539,0.71,Premium,D,SI1,58.1,61.0,0.2022792022792023
4540,0.5,Ideal,E,VS2,61.4,56.0,0.14245014245014245
4541,0.32,Ideal,G,VVS2,62.0,54.0,0.09116809116809117
4542,0.52,Ideal,H,VVS1,61.2,57.0,0.14814814814814817
4543,0.44,Ideal,E,VS2,61.9,55.0,0.12535612535612536
4544,0.7,Ideal,E,VS1,62.3,54.0,0.19943019943019943
4545,0.36,Ideal,D,VS2,60.6,57.0,0.10256410256410256
4546,0.27,Ideal,F,VVS2,61.4,57.0,0.07692307692307693
4547,0.85,Good,G,SI1,64.9,56.0,0.24216524216524218
4548,1.21,Very Good,H,VS2,62.9,55.0,0.34472934472934474
4549,0.78,Premium,I,SI1,61.9,58.0,0.22222222222222224
4550,0.33,Good,G,IF,57.9,60.0,0.09401709401709403
4551,0.32,Ideal,H,SI1,61.5,55.0,0.09116809116809117
4552,0.5,Premium,H,SI2,61.0,58.0,0.14245014245014245
4553,1.26,Premium,H,SI1,61.0,55.0,0.358974358974359
4554,1.51,Good,I,VS1,62.0,56.0,0.43019943019943024
4555,0.41,Ideal,D,SI2,62.7,55.0,0.1168091168091168
4556,0.77,Very Good,G,VS2,61.3,60.0,0.21937321937321938
4557,0.53,Premium,F,SI1,62.2,58.0,0.15099715099715103
4558,0.9,Premium,G,VS2,60.8,56.0,0.25641025641025644
4559,0.41,Premium,E,SI1,62.3,56.0,0.1168091168091168
4560,0.5,Ideal,E,VS2,62.2,55.0,0.14245014245014245
4561,1.3,Premium,F,SI1,61.1,53.0,0.3703703703703704
4562,0.41,Premium,D,VVS2,62.2,58.0,0.1168091168091168
4563,0.9,Premium,I,SI1,63.0,60.0,0.25641025641025644
4564,0.72,Ideal,E,VS2,62.8,57.0,0.20512820512820512
4565,2.32,Fair,H,SI1,62.0,62.0,0.6609686609686609
4566,1.71,Premium,E,SI1,59.1,58.0,0.4871794871794872
4567,0.54,Ideal,D,VS2,61.2,56.0,0.15384615384615385
4568,0.73,Premium,D,SI1,60.8,55.0,0.20797720797720798
4569,0.38,Ideal,E,VVS2,62.2,56.0,0.10826210826210828
4570,0.5,Very Good,E,VS1,60.0,60.0,0.14245014245014245
4571,0.68,Good,J,VS1,61.6,65.0,0.19373219373219375
4572,2.01,Good,E,SI1,58.7,59.0,0.5726495726495726
4573,1.0,Ideal,E,SI1,62.9,56.0,0.2849002849002849
4574,0.7,Premium,F,SI2,61.5,58.0,0.19943019943019943
4575,1.06,Premium,F,VS2,61.8,60.0,0.30199430199430205
4576,0.6,Ideal,G,SI2,59.1,56.0,0.17094017094017094
4577,0.42,Ideal,G,VS2,62.2,54.0,0.11965811965811966
4578,0.41,Ideal,G,SI1,62.6,54.0,0.1168091168091168
4579,0.3,Ideal,E,VVS2,61.1,56.0,0.08547008547008547
4580,1.12,Ideal,F,VVS1,61.0,56.0,0.31908831908831914
4581,1.58,Ideal,H,VS2,61.4,56.0,0.4501424501424502
4582,0.75,Premium,E,VS2,62.1,57.0,0.2136752136752137
4583,0.32,Premium,F,VS2,59.5,61.0,0.09116809116809117
4584,0.41,Premium,E,VVS1,62.2,58.0,0.1168091168091168
4585,0.7,Very Good,E,VS2,58.7,63.0,0.19943019943019943
4586,1.21,Very Good,H,SI1,63.3,57.0,0.34472934472934474
4587,1.0,Very Good,F,SI1,63.4,61.0,0.2849002849002849
4588,1.02,Ideal,F,VS1,62.6,54.0,0.2905982905982906
4589,1.2,Premium,H,VS2,60.6,58.0,0.3418803418803419
4590,0.5,Ideal,D,SI1,62.0,54.0,0.14245014245014245
4591,0.57,Ideal,G,VS1,62.1,56.0,0.1623931623931624
4592,0.46,Very Good,G,VS2,61.3,56.0,0.13105413105413108
4593,0.9,Good,H,VS2,64.0,57.0,0.25641025641025644
4594,1.31,Ideal,H,SI2,62.3,56.0,0.37321937321937326
4595,1.22,Premium,G,SI2,58.3,61.0,0.3475783475783476
4596,1.01,Ideal,F,VVS2,61.8,56.0,0.28774928774928776
4597,0.7,Ideal,E,VS2,60.7,58.0,0.19943019943019943
4598,1.0,Good,G,VS1,63.9,55.0,0.2849002849002849
4599,0.33,Very Good,F,VS1,59.3,56.0,0.09401709401709403
4600,2.12,Premium,H,SI2,61.5,59.0,0.6039886039886041
4601,1.01,Premium,D,SI1,62.0,60.0,0.28774928774928776
4602,0.73,Good,E,I1,56.9,60.0,0.20797720797720798
4603,0.5,Premium,E,I1,60.7,61.0,0.14245014245014245
4604,2.23,Very Good,G,I1,63.5,57.0,0.6353276353276354
4605,1.13,Ideal,F,VS1,60.9,57.0,0.32193732193732194
4606,0.3,Premium,E,VS2,60.4,58.0,0.08547008547008547
4607,0.71,Very Good,I,SI1,60.4,63.0,0.2022792022792023
4608,0.81,Premium,H,VVS2,62.8,58.0,0.2307692307692308
4609,1.43,Ideal,G,SI1,62.8,57.0,0.40740740740740744
4610,0.74,Ideal,J,VS1,61.2,56.0,0.21082621082621084
4611,0.6,Ideal,G,VS1,61.1,57.0,0.17094017094017094
4612,1.63,Ideal,H,SI1,61.8,57.0,0.46438746438746437
4613,0.39,Premium,F,VVS1,59.7,58.0,0.11111111111111112
4614,0.48,Good,G,VS1,57.8,60.9,0.13675213675213677
4615,0.43,Ideal,F,SI2,60.7,57.0,0.1225071225071225
4616,1.21,Very Good,G,VS2,63.1,60.0,0.34472934472934474
4617,0.9,Very Good,E,SI1,61.3,57.0,0.25641025641025644
4618,0.24,Ideal,H,IF,62.1,57.0,0.06837606837606838
4619,1.59,Very Good,I,SI1,62.4,56.0,0.45299145299145305
4620,0.57,Ideal,G,VVS1,60.9,56.0,0.1623931623931624
4621,1.55,Ideal,D,VS2,62.5,55.0,0.4415954415954416
4622,0.44,Good,D,SI1,58.8,62.0,0.12535612535612536
4623,0.3,Premium,G,VS2,62.6,62.0,0.08547008547008547
4624,0.73,Premium,F,SI2,59.5,62.0,0.20797720797720798
4625,0.3,Ideal,G,VVS1,61.3,56.0,0.08547008547008547
4626,0.55,Ideal,D,VS2,61.5,56.0,0.1566951566951567
4627,0.31,Ideal,I,VS2,61.6,55.0,0.08831908831908833
4628,2.03,Very Good,E,SI2,63.0,61.0,0.5783475783475783
4629,0.7,Premium,F,SI1,59.4,60.0,0.19943019943019943
4630,0.85,Ideal,D,VS2,61.9,55.0,0.24216524216524218
4631,0.34,Ideal,E,VVS1,62.2,56.0,0.09686609686609687
4632,1.54,Ideal,G,VVS1,61.4,56.0,0.43874643874643876
4633,1.11,Premium,G,VS2,59.0,59.0,0.3162393162393163
4634,0.51,Very Good,E,SI1,61.2,61.0,0.1452991452991453
4635,1.05,Ideal,G,VS2,61.7,56.0,0.2991452991452992
4636,0.35,Ideal,D,VS1,63.0,57.0,0.09971509971509972
4637,0.55,Very Good,I,SI2,63.1,58.0,0.1566951566951567
4638,0.33,Premium,G,VS1,61.8,59.0,0.09401709401709403
4639,0.52,Premium,E,VS2,60.9,58.0,0.14814814814814817
4640,0.42,Ideal,G,VVS1,61.1,56.0,0.11965811965811966
4641,0.91,Fair,H,SI2,64.4,57.0,0.2592592592592593
4642,1.51,Premium,F,SI1,61.4,58.0,0.43019943019943024
4643,0.38,Premium,H,VVS1,61.2,60.0,0.10826210826210828
4644,0.71,Ideal,E,VS2,59.5,57.0,0.2022792022792023
4645,1.01,Premium,F,SI1,62.8,59.0,0.28774928774928776
4646,1.31,Ideal,H,VS1,61.5,55.0,0.37321937321937326
4647,0.7,Ideal,G,VS1,61.4,55.0,0.19943019943019943
4648,1.04,Ideal,E,SI2,62.3,55.0,0.29629629629629634
4649,0.42,Premium,E,SI1,59.8,61.0,0.11965811965811966
