,carat,cut,color,clarity,depth,table,price,volume
972,1.01,Very Good,F,SI1,63.5,57.0,5713,0.28774928774928776
973,1.01,Ideal,I,SI2,61.9,55.0,3733,0.28774928774928776
974,1.52,Very Good,F,VS1,63.8,56.0,15819,0.4330484330484331
975,1.22,Premium,F,SI2,62.5,57.0,5794,0.3475783475783476
976,0.4,Ideal,E,SI2,61.0,58.0,629,0.11396011396011398
977,0.56,Ideal,J,SI1,61.8,58.0,1119,0.15954415954415954
978,0.39,Premium,J,VS2,61.3,60.0,581,0.11111111111111112
979,0.74,Ideal,F,VS2,61.9,57.0,3454,0.21082621082621086
980,1.36,Ideal,G,VS1,61.0,56.0,10455,0.3874643874643875
981,1.5,Ideal,E,SI1,62.0,55.0,11385,0.4273504273504274
982,1.16,Ideal,G,IF,62.0,57.0,10082,0.3304843304843305
983,0.71,Ideal,D,SI2,62.0,54.0,2934,0.2022792022792023
984,1.06,Premium,F,SI2,62.4,58.0,4452,0.30199430199430205
985,0.32,Premium,I,VS2,62.2,59.0,576,0.09116809116809116
986,0.39,Ideal,F,VS1,62.3,57.0,1024,0.11111111111111112
987,1.2,Good,E,SI1,64.0,61.0,7096,0.3418803418803419
988,0.45,Ideal,G,IF,62.8,53.0,1377,0.12820512820512822
989,0.43,Ideal,F,VVS2,61.4,56.0,1093,0.1225071225071225
990,0.72,Very Good,D,VS2,62.9,58.0,3493,0.20512820512820512
991,0.31,Ideal,G,VS1,61.9,55.0,583,0.08831908831908833
992,0.71,Premium,F,SI1,61.6,57.0,2381,0.2022792022792023
993,0.7,Very Good,F,VS2,61.6,58.0,2362,0.19943019943019946
994,0.73,Very Good,G,SI2,62.6,56.0,1986,0.207977207977208
995,0.37,Ideal,H,VVS1,62.0,53.0,815,0.10541310541310543
996,1.06,Very Good,E,SI1,63.7,55.0,5445,0.30199430199430205
997,0.32,Ideal,E,VS2,61.4,56.0,702,0.09116809116809116
998,1.04,Premium,F,VS2,61.9,58.0,6908,0.29629629629629634
999,2.08,Ideal,H,SI1,61.7,58.0,17469,0.5925925925925927
1000,0.35,Ideal,F,VS2,60.5,57.0,906,0.09971509971509973
1001,2.32,Fair,H,I1,70.5,55.0,6860,0.6609686609686609
1002,0.31,Good,F,SI1,63.5,56.0,516,0.08831908831908833
1003,1.4,Ideal,J,SI1,62.7,57.0,6139,0.3988603988603989
1004,2.01,Premium,H,SI1,58.2,62.0,16287,0.5726495726495726
1005,2.24,Ideal,I,SI2,62.1,57.0,15852,0.6381766381766383
1006,0.75,Very Good,E,VS2,60.4,56.0,3817,0.2136752136752137
1007,0.7,Ideal,I,SI1,60.8,59.0,2083,0.19943019943019946
1008,0.34,Ideal,H,VS2,60.4,57.0,555,0.09686609686609687
1009,1.51,Ideal,E,VS2,61.1,57.0,13157,0.43019943019943024
1010,0.72,Ideal,H,VS2,62.3,52.0,2548,0.20512820512820512
1011,1.29,Ideal,G,VS2,62.9,57.0,7080,0.3675213675213676
1012,2.04,Premium,H,SI1,60.6,61.0,12454,0.5811965811965812
1013,0.52,Ideal,G,VVS2,61.5,56.0,2012,0.14814814814814814
1014,0.71,Premium,G,SI1,62.8,61.0,2215,0.2022792022792023
1015,0.38,Premium,I,VS2,62.5,58.0,633,0.10826210826210828
1016,0.31,Good,H,VS1,64.0,59.0,698,0.08831908831908833
1017,0.31,Very Good,E,SI1,62.7,58.0,544,0.08831908831908833
1018,0.9,Good,E,SI2,64.1,57.0,3084,0.25641025641025644
1019,1.03,Premium,E,SI2,58.8,62.0,4070,0.2934472934472935
1020,1.54,Premium,G,SI1,60.5,61.0,11574,0.4387464387464388
1021,1.0,Good,H,VS1,62.1,64.0,4732,0.2849002849002849
1022,1.04,Premium,F,SI2,62.8,60.0,4013,0.29629629629629634
1023,0.52,Ideal,D,SI1,62.2,54.0,1429,0.14814814814814814
1024,0.38,Ideal,F,VS2,61.2,57.0,889,0.10826210826210828
1025,1.52,Premium,I,SI1,61.2,60.0,8299,0.4330484330484331
1026,0.37,Ideal,E,VS1,61.6,54.7,886,0.10541310541310543
1027,1.53,Ideal,G,SI2,61.7,57.0,7240,0.435897435897436
1028,1.12,Premium,J,VS2,58.6,58.0,4422,0.31908831908831914
1029,1.01,Premium,H,SI2,60.3,60.0,4638,0.28774928774928776
1030,0.91,Fair,E,VS2,61.8,66.0,4550,0.2592592592592593
1031,0.3,Good,F,VS2,63.4,59.0,565,0.08547008547008547
1032,2.36,Ideal,H,SI2,61.8,56.0,14146,0.6723646723646723
1033,0.53,Good,D,SI2,63.9,55.0,1226,0.15099715099715105
1034,0.33,Ideal,H,VVS2,61.9,55.0,854,0.09401709401709404
1035,0.7,Good,F,SI2,64.1,55.0,1851,0.19943019943019946
1036,0.28,Ideal,I,VS1,62.0,56.0,503,0.07977207977207977
1037,1.51,Premium,F,VS2,61.9,59.0,14334,0.43019943019943024
1038,1.2,Ideal,F,VS2,61.9,53.0,8669,0.3418803418803419
1039,0.91,Premium,H,VS2,62.3,57.0,3963,0.2592592592592593
1040,0.32,Ideal,G,VVS2,61.3,56.0,730,0.09116809116809116
1041,0.49,Premium,F,SI1,58.7,60.0,1179,0.1396011396011396
1042,0.9,Very Good,D,VS1,63.4,58.0,5511,0.25641025641025644
1043,0.34,Ideal,F,SI1,59.4,57.0,491,0.09686609686609687
1044,2.01,Very Good,J,SI1,62.4,59.0,12392,0.5726495726495726
1045,0.33,Ideal,G,VS2,62.3,55.0,579,0.09401709401709404
1046,1.0,Premium,E,SI2,62.6,60.0,4116,0.2849002849002849
1047,0.51,Ideal,D,VS2,61.9,55.0,1787,0.1452991452991453
1048,0.55,Premium,D,SI1,61.9,60.0,1815,0.1566951566951567
1049,0.34,Premium,H,VS2,59.0,59.0,689,0.09686609686609687
1050,0.34,Ideal,D,VVS1,61.2,57.0,1272,0.09686609686609687
1051,0.3,Ideal,G,IF,62.5,54.0,863,0.08547008547008547
1052,0.31,Ideal,H,VS2,61.4,56.0,507,0.08831908831908833
1053,0.96,Good,H,VS1,63.9,54.0,4535,0.27350427350427353
1054,1.07,Premium,H,VS2,62.1,59.0,5424,0.30484330484330485
1055,0.41,Premium,G,SI1,61.5,59.0,719,0.1168091168091168
1056,0.8,Ideal,F,VS2,61.3,55.0,3913,0.22792022792022795
1057,0.35,Ideal,F,VS2,61.4,54.0,906,0.09971509971509973
1058,0.9,Good,F,VVS1,64.2,56.0,6124,0.25641025641025644
1059,0.52,Very Good,H,SI1,59.3,59.0,1175,0.14814814814814814
1060,0.7,Ideal,E,SI2,60.5,56.0,2375,0.19943019943019946
1061,0.4,Very Good,G,VVS1,60.6,58.0,1008,0.11396011396011398
1062,0.73,Ideal,H,SI2,62.3,56.0,2278,0.207977207977208
1063,0.56,Ideal,E,VS2,61.9,55.0,1915,0.15954415954415954
1064,0.31,Ideal,H,VVS1,60.8,55.0,942,0.08831908831908833
1065,0.91,Very Good,J,SI1,63.5,58.0,2905,0.2592592592592593
1066,1.02,Ideal,G,VS2,62.4,57.0,5346,0.2905982905982906
1067,1.04,Very Good,G,VS2,61.9,57.0,6177,0.29629629629629634
1068,0.93,Ideal,H,VS2,61.5,57.0,4218,0.26495726495726496
1069,0.53,Very Good,F,VVS2,61.4,57.0,2175,0.15099715099715105
1070,0.7,Premium,E,VS2,60.9,59.0,2673,0.19943019943019946
1071,0.34,Ideal,H,VVS1,62.0,54.0,995,0.09686609686609687
1072,0.75,Ideal,G,SI1,61.6,55.0,2902,0.2136752136752137
1073,0.42,Premium,G,SI1,62.7,59.0,717,0.11965811965811965
1074,0.37,Premium,F,VS2,61.9,58.0,957,0.10541310541310543
1075,1.59,Ideal,H,SI1,61.5,57.0,10832,0.452991452991453
1076,1.08,Very Good,F,SI1,62.9,57.0,5014,0.3076923076923077
1077,1.25,Premium,I,VS2,61.2,58.0,6300,0.3561253561253562
1078,0.3,Very Good,H,VVS2,62.0,59.0,581,0.08547008547008547
1079,0.3,Ideal,H,SI1,62.0,56.0,450,0.08547008547008547
1080,1.02,Very Good,F,VS2,63.2,57.0,6659,0.2905982905982906
1081,0.41,Ideal,E,SI1,61.8,56.0,904,0.1168091168091168
1082,0.31,Ideal,F,VS2,62.3,55.0,802,0.08831908831908833
1083,0.7,Premium,E,SI1,62.5,61.0,2592,0.19943019943019946
1084,1.23,Very Good,F,VS1,62.0,59.0,10035,0.3504273504273505
1085,1.5,Premium,J,SI2,61.0,60.0,6048,0.4273504273504274
1086,0.35,Premium,H,VVS1,60.1,62.0,956,0.09971509971509973
1087,1.17,Premium,H,SI1,58.5,62.0,5831,0.3333333333333333
1088,0.33,Premium,G,VS2,60.8,58.0,743,0.09401709401709404
1089,1.03,Ideal,G,SI2,61.8,55.0,4582,0.2934472934472935
1090,1.01,Premium,G,VS2,63.0,56.0,5864,0.28774928774928776
1091,0.46,Ideal,H,SI1,61.2,56.0,1299,0.13105413105413108
1092,0.53,Ideal,I,SI2,61.8,55.0,844,0.15099715099715105
1093,0.54,Premium,G,VS1,61.6,58.0,1760,0.15384615384615385
1094,0.99,Fair,J,SI1,55.0,61.0,2812,0.28205128205128205
1095,0.9,Good,G,VS2,63.6,59.0,4022,0.25641025641025644
1096,2.01,Good,H,I1,63.9,59.0,7024,0.5726495726495726
1097,0.23,Very Good,E,VVS1,60.8,56.0,499,0.06552706552706554
1098,0.41,Very Good,E,VVS2,63.8,58.0,1019,0.1168091168091168
1099,0.3,Very Good,J,VS1,63.0,59.0,394,0.08547008547008547
1100,1.0,Premium,D,VS1,59.7,60.0,8124,0.2849002849002849
1101,1.0,Ideal,F,SI1,62.0,55.0,5239,0.2849002849002849
1102,1.7,Premium,I,SI1,59.7,60.0,10501,0.4843304843304844
1103,0.43,Premium,D,VVS1,59.6,58.0,1659,0.1225071225071225
1104,2.02,Good,G,SI2,57.5,61.0,12929,0.5754985754985755
1105,0.57,Very Good,F,SI1,62.6,58.0,1403,0.1623931623931624
1106,0.57,Ideal,H,SI1,62.1,57.0,1247,0.1623931623931624
1107,0.31,Good,E,SI1,63.6,57.0,698,0.08831908831908833
1108,0.42,Ideal,G,SI1,61.6,56.0,896,0.11965811965811965
1109,0.41,Ideal,F,VS2,62.3,57.0,863,0.1168091168091168
1110,1.51,Premium,D,SI1,61.1,60.0,12261,0.43019943019943024
1111,1.01,Good,E,SI1,62.6,61.0,4743,0.28774928774928776
1112,0.91,Very Good,I,SI2,62.8,61.0,2832,0.2592592592592593
1113,1.51,Good,D,SI2,61.7,65.0,7519,0.43019943019943024
1114,1.01,Ideal,J,SI1,60.2,59.0,4194,0.28774928774928776
1115,0.31,Ideal,H,VS2,61.2,59.0,515,0.08831908831908833
1116,0.72,Good,E,SI1,63.7,58.0,2361,0.20512820512820512
1117,0.72,Very Good,F,VVS2,63.6,59.0,3420,0.20512820512820512
1118,0.9,Good,F,SI2,63.1,56.0,3519,0.25641025641025644
1119,0.32,Good,D,SI1,63.8,56.0,756,0.09116809116809116
1120,0.52,Ideal,G,SI2,62.1,56.0,1210,0.14814814814814814
1121,2.18,Premium,H,SI2,59.1,60.0,17473,0.6210826210826211
1122,0.7,Ideal,H,VS1,62.0,59.0,2648,0.19943019943019946
1123,0.55,Ideal,I,VS1,62.5,57.0,1297,0.1566951566951567
1124,2.0,Premium,E,SI2,60.3,58.0,12987,0.5698005698005698
1125,0.92,Ideal,J,VS2,61.1,57.0,3215,0.26210826210826216
1126,1.55,Ideal,I,VVS1,62.1,56.0,11869,0.4415954415954416
1127,1.5,Good,G,I1,57.4,62.0,3179,0.4273504273504274
1128,0.57,Ideal,E,VS1,61.5,55.0,2164,0.1623931623931624
1129,0.51,Ideal,F,SI1,61.3,56.0,1406,0.1452991452991453
1130,0.7,Premium,J,VVS2,60.6,58.0,1764,0.19943019943019946
1131,0.52,Very Good,E,SI1,62.9,59.0,1389,0.14814814814814814
1132,0.51,Ideal,E,SI1,61.5,54.0,1356,0.1452991452991453
1133,1.5,Premium,F,VS2,60.8,58.0,14372,0.4273504273504274
1134,0.31,Good,H,SI1,63.6,57.0,573,0.08831908831908833
1135,1.01,Premium,E,SI2,62.6,59.0,4666,0.28774928774928776
1136,1.31,Ideal,H,SI2,62.2,57.0,6484,0.3732193732193733
1137,1.24,Premium,D,SI2,61.0,59.0,5311,0.3532763532763533
1138,1.55,Ideal,F,SI1,61.9,55.0,14220,0.4415954415954416
1139,0.77,Very Good,E,VS1,59.4,61.0,3488,0.21937321937321935
1140,0.51,Very Good,E,VVS2,62.1,55.0,2056,0.1452991452991453
1141,1.0,Very Good,F,VVS1,61.7,57.0,9492,0.2849002849002849
1142,1.01,Very Good,H,SI2,63.9,56.0,4023,0.28774928774928776
1143,3.0,Very Good,H,I1,63.1,55.0,6512,0.8547008547008548
1144,0.71,Very Good,G,VS2,61.5,57.0,2543,0.2022792022792023
1145,1.51,Very Good,F,SI1,62.8,59.0,11560,0.43019943019943024
1146,1.31,Ideal,G,VVS2,60.9,56.0,11531,0.3732193732193733
1147,0.31,Premium,G,VVS2,60.5,58.0,707,0.08831908831908833
1148,0.72,Ideal,D,SI1,61.1,59.0,2993,0.20512820512820512
1149,0.71,Ideal,J,VVS2,60.3,61.0,2226,0.2022792022792023
1150,0.7,Premium,F,VS1,60.8,62.0,2874,0.19943019943019946
1151,0.32,Ideal,D,VS2,62.1,56.0,972,0.09116809116809116
1152,0.32,Ideal,E,VS2,61.9,56.0,900,0.09116809116809116
1153,1.15,Very Good,G,VS2,60.1,60.0,7175,0.3276353276353277
1154,0.3,Ideal,E,VVS1,61.5,57.0,956,0.08547008547008547
1155,1.73,Good,J,SI1,63.8,60.0,7847,0.4928774928774929
1156,1.74,Ideal,E,SI1,62.2,56.0,15847,0.4957264957264957
1157,0.3,Premium,H,VS1,62.2,60.0,675,0.08547008547008547
1158,0.7,Ideal,F,VS1,62.4,56.0,3199,0.19943019943019946
1159,1.01,Ideal,H,VS2,62.3,57.0,4821,0.28774928774928776
1160,0.91,Very Good,F,SI1,62.2,57.0,4108,0.2592592592592593
1161,0.51,Ideal,F,VS2,61.6,57.0,1661,0.1452991452991453
1162,0.41,Premium,D,SI2,62.0,58.0,683,0.1168091168091168
1163,0.71,Premium,F,SI1,60.2,60.0,2345,0.2022792022792023
1164,0.54,Premium,E,VS2,59.0,60.0,1687,0.15384615384615385
1165,0.42,Good,D,SI2,63.2,57.0,653,0.11965811965811965
1166,0.5,Good,F,VS2,63.6,58.0,1433,0.14245014245014245
1167,0.9,Fair,E,SI1,65.5,59.0,3508,0.25641025641025644
1168,0.61,Ideal,F,VVS2,61.7,55.0,2833,0.1737891737891738
1169,1.52,Premium,E,SI2,61.0,59.0,10214,0.4330484330484331
1170,0.35,Ideal,E,SI2,61.7,56.0,491,0.09971509971509973
1171,0.75,Premium,G,SI1,60.9,58.0,2631,0.2136752136752137
1172,0.58,Ideal,F,VS1,61.9,54.0,1865,0.16524216524216526
1173,0.32,Premium,D,SI1,61.3,60.0,756,0.09116809116809116
1174,0.41,Ideal,G,VS2,61.7,54.0,811,0.1168091168091168
1175,0.43,Premium,G,VVS1,60.3,58.0,1207,0.1225071225071225
1176,1.51,Fair,E,VS2,65.0,58.0,12829,0.43019943019943024
1177,1.21,Very Good,F,VS1,61.1,61.0,9656,0.34472934472934474
1178,1.01,Very Good,F,SI2,61.8,56.0,4298,0.28774928774928776
1179,0.73,Premium,I,VS1,60.3,58.0,2371,0.207977207977208
1180,0.29,Very Good,G,VVS1,62.0,58.0,522,0.08262108262108261
1181,1.0,Premium,G,SI1,61.9,62.0,5154,0.2849002849002849
1182,0.51,Ideal,E,SI1,61.5,57.0,1682,0.1452991452991453
1183,0.75,Good,E,VS2,59.7,65.0,2717,0.2136752136752137
1184,0.33,Premium,I,VVS2,61.0,59.0,579,0.09401709401709404
1185,1.21,Ideal,H,SI1,61.8,55.0,6727,0.34472934472934474
1186,0.41,Premium,F,VS1,60.7,56.0,1076,0.1168091168091168
1187,0.51,Ideal,F,SI2,61.0,55.0,1100,0.1452991452991453
1188,0.31,Ideal,G,IF,62.5,56.0,871,0.08831908831908833
1189,1.02,Ideal,H,VS2,62.0,55.0,5683,0.2905982905982906
1190,1.03,Ideal,F,VVS1,62.1,56.3,10619,0.2934472934472935
1191,0.38,Ideal,G,VS2,62.2,56.0,983,0.10826210826210828
1192,1.5,Fair,H,I1,65.5,58.0,5645,0.4273504273504274
1193,0.8,Very Good,H,SI2,63.4,58.0,2502,0.22792022792022795
1194,0.41,Ideal,E,VVS1,60.9,55.0,1431,0.1168091168091168
1195,0.3,Ideal,H,VVS2,61.2,57.0,776,0.08547008547008547
1196,1.01,Premium,F,VS1,62.5,58.0,7465,0.28774928774928776
1197,1.0,Ideal,E,SI1,61.6,55.0,5880,0.2849002849002849
1198,0.3,Very Good,G,VS2,63.0,55.0,526,0.08547008547008547
1199,1.21,Premium,F,SI2,59.9,62.0,5746,0.34472934472934474
1200,1.02,Premium,D,SI2,60.2,58.0,5257,0.2905982905982906
1201,0.34,Ideal,F,VS2,61.6,57.0,880,0.09686609686609687
1202,0.3,Ideal,E,SI1,61.9,57.0,526,0.08547008547008547
1203,0.71,Premium,H,SI1,61.0,58.0,2006,0.2022792022792023
1204,0.37,Ideal,E,SI1,61.4,56.0,606,0.10541310541310543
1205,1.63,Ideal,H,VS2,62.4,55.0,12155,0.4643874643874644
1206,0.5,Good,D,SI1,63.7,56.0,1436,0.14245014245014245
1207,1.0,Premium,G,VS2,61.6,58.0,6272,0.2849002849002849
1208,0.42,Very Good,D,VS2,63.2,58.0,910,0.11965811965811965
1209,0.7,Good,H,SI2,61.5,63.0,1899,0.19943019943019946
1210,0.32,Very Good,F,SI1,62.3,55.0,533,0.09116809116809116
1211,0.57,Ideal,E,VVS2,61.5,55.9,2615,0.1623931623931624
1212,0.34,Ideal,D,SI1,60.6,56.0,626,0.09686609686609687
1213,0.7,Ideal,E,SI1,61.8,56.0,2576,0.19943019943019946
1214,0.3,Premium,D,VS2,61.7,59.0,911,0.08547008547008547
1215,0.41,Ideal,E,VS2,61.8,56.0,935,0.1168091168091168
1216,1.0,Fair,F,VS1,67.0,52.0,4984,0.2849002849002849
1217,0.9,Premium,E,SI1,61.9,58.0,4209,0.25641025641025644
1218,1.37,Premium,G,VS2,61.6,59.0,7951,0.3903133903133904
1219,0.41,Premium,D,SI1,59.6,59.0,1015,0.1168091168091168
1220,0.32,Very Good,D,IF,62.0,56.0,1171,0.09116809116809116
1221,1.09,Very Good,D,SI2,61.9,61.0,3890,0.31054131054131057
1222,1.01,Ideal,I,VS2,59.9,61.0,4685,0.28774928774928776
1223,1.0,Good,H,VS2,63.8,59.0,4028,0.2849002849002849
1224,1.24,Very Good,I,SI1,62.5,57.0,5046,0.3532763532763533
1225,1.16,Ideal,J,SI1,60.7,57.0,4028,0.3304843304843305
1226,0.52,Ideal,E,VS1,62.5,56.0,1793,0.14814814814814814
1227,0.92,Very Good,G,SI2,59.4,62.0,3618,0.26210826210826216
1228,0.3,Very Good,H,SI1,59.4,63.0,421,0.08547008547008547
1229,0.81,Ideal,D,SI2,61.9,54.0,3160,0.2307692307692308
1230,0.8,Ideal,G,SI2,62.2,56.0,2749,0.22792022792022795
1231,1.3,Ideal,H,SI1,62.2,56.0,7054,0.3703703703703704
1232,0.42,Good,F,SI1,63.4,56.0,722,0.11965811965811965
1233,2.0,Very Good,J,VVS2,63.0,59.0,15076,0.5698005698005698
1234,1.63,Very Good,G,VS1,62.5,60.0,14404,0.4643874643874644
1235,0.68,Ideal,D,VVS1,61.3,57.0,4325,0.19373219373219372
1236,0.38,Ideal,F,VS1,62.5,53.8,916,0.10826210826210828
1237,1.0,Very Good,E,SI1,63.1,58.0,4435,0.2849002849002849
1238,0.33,Ideal,G,VVS1,61.7,54.0,1114,0.09401709401709404
1239,0.6,Premium,D,SI1,60.4,60.0,1996,0.17094017094017094
1240,1.5,Very Good,I,SI2,63.4,58.0,7211,0.4273504273504274
1241,1.02,Ideal,F,VS2,62.9,57.0,6509,0.2905982905982906
1242,0.31,Ideal,I,IF,62.2,54.0,652,0.08831908831908833
1243,0.79,Ideal,D,SI1,61.2,56.0,3185,0.2250712250712251
1244,1.0,Good,F,SI1,63.8,57.0,4844,0.2849002849002849
1245,0.56,Ideal,D,SI2,62.2,55.0,1243,0.15954415954415954
1246,0.32,Premium,H,SI1,62.3,60.0,591,0.09116809116809116
1247,0.8,Good,G,SI2,62.8,58.0,2363,0.22792022792022795
1248,0.51,Very Good,E,VS1,64.4,55.0,1634,0.1452991452991453
1249,0.7,Ideal,H,VVS1,62.0,55.0,2881,0.19943019943019946
1250,1.58,Ideal,I,SI1,62.3,55.0,9457,0.4501424501424502
1251,0.3,Premium,E,VS2,62.0,59.0,844,0.08547008547008547
1252,0.51,Ideal,E,SI1,61.1,56.0,1443,0.1452991452991453
1253,0.5,Very Good,E,VS2,61.3,62.0,1407,0.14245014245014245
1254,0.52,Ideal,E,VS1,61.9,55.0,2105,0.14814814814814814
1255,0.37,Very Good,G,IF,61.8,56.0,1003,0.10541310541310543
1256,1.26,Ideal,E,SI1,61.5,59.0,8574,0.35897435897435903
1257,1.51,Ideal,D,VS1,63.0,53.4,16688,0.43019943019943024
1258,0.9,Premium,F,SI1,61.4,55.0,4435,0.25641025641025644
1259,0.32,Ideal,D,VS2,62.4,57.0,972,0.09116809116809116
1260,0.33,Ideal,G,VVS1,60.8,56.0,1114,0.09401709401709404
1261,0.34,Ideal,D,SI1,62.3,57.0,626,0.09686609686609687
1262,1.31,Ideal,F,VS2,59.6,60.0,10243,0.3732193732193733
1263,0.7,Premium,H,VVS2,58.8,58.0,2536,0.19943019943019946
1264,2.01,Good,I,SI2,64.6,57.0,12681,0.5726495726495726
1265,1.01,Fair,J,VS2,59.6,62.0,3886,0.28774928774928776
1266,1.35,Premium,G,VS2,61.1,58.0,9580,0.38461538461538464
1267,1.0,Good,F,SI2,63.7,57.0,3906,0.2849002849002849
1268,1.01,Very Good,E,SI1,62.1,56.0,5461,0.28774928774928776
1269,0.83,Premium,D,SI1,61.3,58.0,2990,0.2364672364672365
1270,0.56,Ideal,D,SI1,61.2,56.0,1814,0.15954415954415954
1271,0.76,Very Good,E,IF,61.9,56.0,4798,0.21652421652421652
1272,1.5,Premium,F,SI2,60.8,59.0,9408,0.4273504273504274
1273,1.71,Ideal,F,VS2,61.9,57.0,16384,0.4871794871794872
1274,1.55,Fair,H,SI2,64.6,58.0,9045,0.4415954415954416
1275,1.15,Premium,H,SI1,60.9,57.0,5139,0.3276353276353277
1276,0.3,Very Good,E,SI1,63.2,56.0,675,0.08547008547008547
1277,0.41,Ideal,G,VS1,62.4,57.0,961,0.1168091168091168
1278,0.42,Very Good,J,VS2,60.9,58.0,723,0.11965811965811965
1279,0.65,Ideal,D,VVS1,61.8,57.0,4022,0.1851851851851852
1280,0.31,Ideal,G,VVS2,62.5,53.0,677,0.08831908831908833
1281,0.31,Ideal,E,VS1,60.7,57.0,733,0.08831908831908833
1282,0.71,Good,I,VS1,63.8,53.0,2104,0.2022792022792023
1283,0.58,Ideal,J,VS2,60.9,57.0,1324,0.16524216524216526
1284,0.4,Good,I,VVS1,63.9,56.0,1080,0.11396011396011398
1285,0.9,Very Good,D,VVS2,62.6,59.0,6872,0.25641025641025644
1286,0.3,Premium,F,VS2,61.6,58.0,776,0.08547008547008547
1287,0.34,Ideal,D,SI1,62.0,56.0,626,0.09686609686609687
1288,0.41,Very Good,D,VS1,61.7,58.0,1018,0.1168091168091168
1289,1.86,Premium,G,SI2,62.8,58.0,13420,0.5299145299145299
1290,1.01,Very Good,I,SI1,60.9,59.0,4207,0.28774928774928776
1291,0.54,Ideal,G,VVS2,60.6,56.0,2090,0.15384615384615385
1292,1.52,Premium,E,SI2,60.8,60.0,9193,0.4330484330484331
1293,1.14,Ideal,H,SI1,62.2,54.0,5763,0.3247863247863248
1294,0.9,Good,D,SI1,62.0,62.0,4187,0.25641025641025644
1295,0.71,Fair,J,SI2,65.5,61.0,1409,0.2022792022792023
1296,1.51,Very Good,F,SI1,59.4,57.0,10838,0.43019943019943024
1297,0.29,Ideal,F,VVS1,61.7,55.0,815,0.08262108262108261
1298,1.05,Ideal,H,SI2,61.8,58.0,4604,0.2991452991452992
1299,0.61,Ideal,F,VVS2,61.5,55.0,3248,0.1737891737891738
1300,0.74,Ideal,H,VS2,62.2,55.0,3178,0.21082621082621086
1301,0.32,Ideal,F,VS2,61.4,55.0,781,0.09116809116809116
1302,0.47,Good,E,SI2,56.5,62.0,844,0.1339031339031339
1303,0.91,Ideal,F,SI2,62.7,57.0,3642,0.2592592592592593
1304,0.78,Premium,D,SI1,60.4,57.0,3019,0.22222222222222224
1305,0.55,Premium,E,SI2,61.9,58.0,1185,0.1566951566951567
1306,0.81,Ideal,H,VS1,61.8,58.0,3257,0.2307692307692308
1307,0.5,Premium,F,VVS2,62.3,58.0,2052,0.14245014245014245
1308,0.3,Very Good,G,VVS2,62.3,59.0,684,0.08547008547008547
1309,1.02,Ideal,D,VVS2,62.2,59.0,11573,0.2905982905982906
1310,0.84,Ideal,G,VS1,61.8,56.0,4325,0.2393162393162393
1311,1.5,Good,I,SI1,64.0,60.0,8580,0.4273504273504274
1312,1.03,Premium,D,SI2,61.7,58.0,4764,0.2934472934472935
1313,0.3,Good,J,VS1,63.5,58.0,394,0.08547008547008547
1314,0.25,Very Good,E,VS2,61.3,57.0,480,0.07122507122507123
1315,0.9,Good,G,SI1,62.8,59.0,3734,0.25641025641025644
1316,0.43,Ideal,G,VVS1,61.4,55.0,1264,0.1225071225071225
1317,1.53,Premium,E,SI1,62.6,57.0,12499,0.435897435897436
1318,0.7,Ideal,D,SI2,60.3,56.0,2423,0.19943019943019946
1319,0.41,Premium,E,SI2,60.0,59.0,876,0.1168091168091168
1320,0.56,Ideal,D,VS2,60.6,56.0,2066,0.15954415954415954
1321,1.54,Ideal,I,SI1,63.5,61.0,9942,0.4387464387464388
1322,0.3,Premium,I,VVS2,61.7,58.0,526,0.08547008547008547
1323,1.01,Good,F,SI2,63.2,58.0,4221,0.28774928774928776
1324,0.3,Ideal,D,VS1,62.2,56.0,651,0.08547008547008547
1325,1.01,Ideal,H,SI1,62.1,56.0,4886,0.28774928774928776
1326,1.44,Very Good,D,VS2,63.1,56.0,10967,0.41025641025641024
1327,0.31,Ideal,H,IF,62.0,54.0,789,0.08831908831908833
1328,0.7,Very Good,I,SI2,60.9,59.0,1603,0.19943019943019946
1329,0.31,Ideal,H,VVS1,62.7,54.0,707,0.08831908831908833
1330,0.41,Ideal,E,VVS2,62.0,56.0,1243,0.1168091168091168
1331,1.02,Very Good,F,SI2,60.0,57.0,4373,0.2905982905982906
1332,0.95,Very Good,H,SI2,59.0,59.0,3335,0.2706552706552707
1333,0.81,Ideal,E,SI1,61.3,57.0,3338,0.2307692307692308
1334,0.42,Very Good,E,SI1,62.3,58.0,773,0.11965811965811965
1335,1.04,Very Good,I,SI1,64.1,57.0,4190,0.29629629629629634
1336,0.55,Ideal,F,VVS2,62.0,55.0,2268,0.1566951566951567
1337,1.0,Premium,F,SI1,61.2,58.0,5197,0.2849002849002849
1338,1.01,Premium,I,SI1,62.7,59.0,3959,0.28774928774928776
1339,1.5,Ideal,G,VS2,62.6,56.0,12468,0.4273504273504274
1340,1.01,Good,I,SI2,64.1,58.0,3349,0.28774928774928776
1341,1.23,Premium,J,SI1,61.9,54.0,4649,0.3504273504273505
1342,0.5,Premium,G,VS1,60.8,60.0,1629,0.14245014245014245
1343,0.27,Ideal,G,VS2,61.5,55.0,490,0.07692307692307693
1344,1.12,Ideal,H,SI1,62.3,56.0,5291,0.31908831908831914
1345,1.52,Premium,G,VS2,62.6,55.0,12958,0.4330484330484331
1346,2.19,Very Good,I,SI1,62.6,58.0,14819,0.6239316239316239
